Question,Answer
경계선지능으로 판단되는 아동의 선별검사 대상은 어떻게 선정되나요?,선별체크리스트를 통해 경계선지능으로 판단되는 아동이 선별검사 대상이 됩니다.
아동권리보장원 웹사이트 주소를 알려주세요.,아동권리보장원 웹사이트 주소는 http://www.ncrc.or.kr/jarip/ 입니다.
"저소득층 대학생인데, 연합생활관에 선발되려면 어떤 조건을 충족해야 하나요?",선발되기 위해서는 저소득층이면서 성적이 우수한 대한민국 국적의 학부생이어야 합니다. 자세한 선발기준은 한국장학재단 홈페이지를 참조하세요.
대학생 연합생활관의 주요 편의시설에는 어떤 것들이 있나요?,"주요 편의시설로는 공동취사실, 세탁실, 독서실, 멘토링실, 체력단련실 등이 있습니다."
연합생활관에 입주하게 되면 지불해야 하는 기숙사비는 얼마인가요?,"연합생활관의 생활관비는 무상이며, 2인 1실 기준으로 보증금 30만 원을 지불해야 합니다. 보증금은 퇴실 시 전액 환급받을 수 있습니다."
연합생활관의 수용인원은 총 몇 명인가요?,"연합생활관의 수용인원은 총 138명이며, 69실을 사용할 수 있습니다."
연합생활관 입주 신청은 언제 어떻게 하면 되나요?,입주 신청은 1월에 한국장학재단 누리집에서 온라인으로 신청할 수 있습니다.
대학생 연합생활관은 어디에 위치해 있나요?,"연합생활관의 위치는 서울시 마포구 희우정로 90이며, 지하철 2호선 합정역과 6호선 망원역 인근에 있습니다."
대학생 연합생활관 입주와 관련하여 문의하고 싶은데 연락할 수 있는 번호가 있나요?,"네, 입주와 관련된 문의는 한국장학재단으로 할 수 있고, 전화번호는 1599-2290입니다."
한국장학재단 홈페이지의 어떤 주소로 가야 대학생 연합생활관 정보를 볼 수 있나요?,한국장학재단 홈페이지의 주소는 https://www.kosaf.go.kr 입니다. 여기에서 대학생 연합생활관 정보를 확인하실 수 있습니다.
대학생 연합생활관 신청 자격에 대한 정보를 어디에서 확인할 수 있나요?,신청 자격에 대한 자세한 정보는 한국장학재단 누리집에서 확인할 수 있습니다.
"대학생 연합생활관 신청 시, 필요한 서류는 무엇이 있나요?","신청 시 필요한 구체적인 서류 목록은 한국장학재단 누리집에서 확인하실 수 있으며, 신청 기간과 프로세스에 따라 다를 수 있으니 정확한 정보를 위해 홈페이지를 참조하시는 것이 좋습니다."
청소년 국가 간 교류 프로그램에 참가하려면 몇 살이어야 하나요?,국가 간 청소년교류 프로그램에 참가하기 위해서는 만 16세에서 만 24세 사이의 청소년이어야 합니다.
청소년 국가 간 문화교류 프로그램 신청은 언제 할 수 있나요?,청소년 국가 간 문화교류 프로그램의 신청 기간은 5월 중이니 그때 온라인으로 참가 신청을 하시면 됩니다.
청소년 해외자원봉사단에 참가하고 싶어요. 자부담 비용이 궁금합니다.,"청소년 해외자원봉사단에 참가할 경우, 파견 시 자부담 비용은 1인당 최대 64만 원 이하입니다. 단, 온라인 봉사활동의 경우 자부담 비용은 없습니다."
참가비 전액 지원을 받으려면 어떤 조건을 충족해야 하나요?,참가비 전액 지원은 사회적 배려계층에 속하는 청소년을 대상으로 하고 있습니다.
청소년 국제회의 참가단의 활동 기간은 어느 정도인가요?,청소년 국제회의 참가단의 활동 기간은 회의별로 상이하지만 대략 10일 내외입니다.
국제회의에 참가하고 싶은데 항공료는 얼마나 지원받을 수 있나요?,"국제회의 참가 시 항공료는 행사별로 다르며, 30% 혹은 80%까지 지원받을 수 있습니다."
온라인으로 국제교류 프로그램에 참가할 때 드는 비용이 있나요?,온라인으로 진행되는 국제교류 프로그램에 참가할 때는 별도의 자부담이 없습니다.
청소년 교류활동 모집인원은 어떻게 되나요?,"청소년 교류활동의 모집인원은 국가별로 상이하며, 보통 10여 명 정도입니다."
청소년 해외자원봉사단 모집 공고가 나오는 시기를 알고 싶어요.,"청소년 해외자원봉사단의 모집 공고는 4월부터 5월 중에 나오므로, 그 기간에 청소년국제교류네트워크 웹사이트에서 확인하실 수 있습니다."
청소년 국제교류 프로그램에 참여하고 싶을 때 어디로 문의해야 하나요?,청소년 국제교류 프로그램에 대한 문의는 한국청소년활동진흥원에 전화하시거나 청소년국제교류네트워크 웹사이트의 참여마당 Q&A를 이용하시면 됩니다.
예술체육 비전장학금 신청자격에 대해 알려주세요.,"예술체육 비전장학금은 국내 4년제 대학의 예술 및 체육계열학과 재학생 중 1, 3학년을 대상으로 지원합니다."
1학년과 3학년 장학생의 지원 유형이 어떻게 다른가요?,"1학년은 '전공탐색 (I, II)유형'으로, 3학년은 '전공확립(I, II)유형'으로 지원 대상이 구분됩니다."
예술체육 비전장학금에서 등록금 지원 내용은 어떻게 되나요?,"장학생으로 선정되면 매 학기별로 등록금 전액이 지원되며, 이는 계속지원 기준을 충족할 시에 해당합니다."
예술체육 비전장학금 수혜를 위한 성적기준은 무엇인가요?,"등록금 지원을 받으려면 직전학기 백분위 90점 이상이거나 평점이 3.6/4.5점 이상이어야 하며, 생활비를 받으려면 백분위 점수가 92점 이상이어야 합니다."
예술체육 비전장학금 Ⅰ유형 생활비 지원 금액은 어느 정도인가요?,"Ⅰ유형 생활비는 학기당 250만 원이 지원되며, 기초생활수급자에게는 추가로 250만 원이 지급됩니다."
예술체육 비전장학금을 신청할 때 최소로 이수해야 하는 학점은 몇 학점인가요?,예술체육 비전장학금을 신청하기 위해서는 직전학기에 최소 12학점 이상을 이수해야 합니다.
"만약 기초생활수급자가 아닌 경우, Ⅱ유형 생활비 지원은 어떻게 되나요?",Ⅱ유형 생활비 지원은 기초생활수급자에게만 한 학기당 250만 원이 지급됩니다. 비수급자는 지원받지 못합니다.
예술체육 비전장학금 신청 방법에 대해 설명해주세요.,예술체육 비전장학금은 한국장학재단 누리집(https://www.kosaf.go.kr)을 통해 신청하실 수 있습니다.
장학금과 관련한 문의는 어디로 하면 되나요?,"장학금 관련 문의는 한국장학재단(☎1599-2290, [www.kosaf.go.kr](https://www.kosaf.go.kr))으로 하시면 됩니다."
예술체육 비전장학금의 기초생활수급자 추가지원은 어떤 유형에서 적용되나요?,"기초생활수급자 추가지원은 Ⅰ유형과 Ⅱ유형 모두에서 적용되며, 한 학기당 250만 원이 추가로 지급됩니다."
아동학대 신고의무자에 해당되지 않는 사람도 신고를 할 수 있나요?,"네, 누구라도 아동학대가 의심되는 상황을 목격하면 아동학대 신고전화(☎112)나 보건복지상담센터(☎129)를 통해 신고할 수 있습니다. 신고자의 개인정보는 보호되며, 필요할 경우 신변보호도 받으실 수 있습니다."
학대피해아동쉼터에서는 일상생활지원 이외에 어떤 지원을 해주나요?,"학대피해아동쉼터에서는 숙식 제공, 상담, 심리검사 및 심리치료, 건강검진 및 병원치료 지원 외에도 학업지도 및 문화 체험 등 다양한 지원을 제공합니다."
아동학대 신고 방법에는 어떤 것들이 있나요?,"아동학대를 신고하는 방법에는 두 가지가 있습니다. 첫째는 아동학대 신고전화 112에 전화하는 방법이고, 둘째는 보건복지상담센터 129에 전화하는 방법이 있습니다."
방임도 아동학대에 해당되나요?,"네, 방임도 아동학대에 해당됩니다. 방임은 의식주를 소홀히 하거나 아동을 학교나 병원에 보내지 않는 등의 행위를 포함하여 아동의 기본적인 생활 관리를 등한시하는 것을 말합니다."
학대피해아동을 위한 상담이나 심리치료는 어떻게 지원받을 수 있나요?,학대피해아동이나 그 가족은 아동보호전문기관을 통해 상담 및 심리치료 서비스를 지원받을 수 있습니다. 이러한 기관들에서는 개별 상황에 맞춘 상담과 심리치료뿐만 아니라 교육서비스도 제공합니다.
아동학대 신고의무자가 신고 의무를 이행하지 않을 경우 어떤 처벌을 받게 되나요?,"아동학대 신고의무자가 정당한 사유 없이 아동학대를 신고하지 않을 경우, 최대 1,000만 원 이하의 과태료가 부과됩니다."
아동학대가 의심될 때 신고 시 제공해야 할 정보에는 무엇이 포함되나요?,학대피해아동과 학대행위자에 대한 대략적인 정보와 학대 의심 상황과 관련한 모든 정보를 신고 시 제공하시면 됩니다. 신고자의 신원은 보호되므로 안심하고 신고하셔도 됩니다.
학대피해아동 보호를 위해 어떤 현장 조사 서비스가 있나요?,"아동학대전담공무원이 아동학대 신고를 접수 받고 현장조사를 진행합니다. 이들은 신고된 사안에 대해 현장에 직접 찾아가 확인하며, 필요한 보호 조치를 취합니다."
정서학대에 해당하는 행위에는 어떤 것들이 있나요?,"정서학대에는 성인이 아동에게 행하는 언어적, 정서적 위협, 감금, 억제 등의 행위가 포함됩니다. 이러한 행위들은 아동의 정서 발달에 부정적인 영향을 끼칩니다."
아동학대 신고 시에 신고자의 인적사항은 어떻게 처리되나요?,아동학대를 신고할 때 신고자의 인적사항은 철저히 보호됩니다. 만약 보복이 우려되는 경우에는 신변보호를 받을 수 있는 조치가 이루어집니다.
학교 우유급식 대상에는 어떤 학생들이 포함되나요?,"기초생활수급자, 차상위계층, 한부모가족 가정의 초중고학생, 특수교육대상자, 가정형편이 어려운 학생 및 사회적배려가 필요한 국가유공자자녀 등이 대상입니다."
항상 우유를 지원받을 수 있는 건가요?,"학기 중과 방학 중에 우유를 지원받게 되며, 연간 총 250일 내외로 지원됩니다."
우유급식을 신청하려면 어떻게 해야 하나요?,소속 학교에서 배포하는 우유급식 신청서를 받아 작성하고 제출하면 됩니다.
우유급식 지원 금액은 얼마인가요?,우유급식 지원 금액은 200ml당 480원 이내입니다.
우유급식에 대해 자세히 알고 싶어요. 어디에 문의해야 하나요?,우유급식에 관한 자세한 사항은 소속 학교에 문의하면 됩니다.
방학 중에도 우유급식을 받을 수 있나요?,"네, 방학 중에도 우유급식을 받을 수 있습니다."
우유급식 신청 시 필요한 서류가 따로 있나요?,"신청 시 필요한 서류는 학교에서 안내받을 수 있으며, 주로 우유급식 신청서가 필요합니다."
우유급식은 어떤 방식으로 이루어지나요?,학생들에게 학기 중 및 방학 중에 연간 250일 내외로 우유를 지원하는 방식으로 이루어집니다.
한부모가족 자녀도 학교 우유급식 대상에 포함되나요?,"네, 한부모가족 가정의 초중고학생은 우유급식 대상에 포함됩니다."
